model,weight,vesa_size,screw_size
KU50UC7030FXKR,10.9kg,200*200,M8 20~22
KU43UC7030FXKR,10.9kg,200*200,M8 20~22
KU50UA7000FXKR,10.9kg,200*200,
KU50UB8070FXKR,11.5kg,200*200,M8 11~13
KU50UB8070-W1,11.5kg,200*200,M8 11~13
KU43UB8070FXKR,8.4kg,200*200,M8 11~13
KU43UB8070-W1,8.4kg,200*200,M8 11~13
KU50UT8090-S,11.4kg,novesa,
KU50UT8090-W,11.4kg,novesa,
KU50UT8070-W,11.4kg,novesa,
KU50UA7050FXKR,10.9kg,200*200,
KU43UT8050FXKR,8.1kg,novesa,
KU43UT8000-S,8.1kg,novesa,
KU43UT8000FXKR,8.1kg,novesa,
KU50UT8090FXKR,11.4kg,novesa,
KU50UT8000FXKR,11.4kg,novesa,
KU43UC8070FXKR,8.1kg,200*200,M8 11~13
KU43UC8070-W1,8.1kg,200*200,M8 11~13
KU50UC8070FXKR,10.7kg,200*200,M8 11~13
KU50UC8070-W1,10.7kg,200*200,M8 11~13
KU50UB8000FXKR,11.5kg,200*200,M8 11~13
KU50UB8000-W1,11.5kg,200*200,M8 11~13
KU43UB8000-W1,8.4kg,200*200,M8 11~13
KU43UT7000FXKR,8.1kg,novesa,
KU50UT7000FXKR,11.4kg,novesa,
KU50UT8070-S,11.4kg,novesa,
KU50UT8070FXKR,11.4kg,novesa,
KU43UT8050-S,8.1kg,novesa,
KU43UT8000-W,8.1kg,novesa,
KU50UC7000FXKR,10.9kg,200*200,M8 20~22
KU50UC7000-W1,10.9kg,200*200,M8 20~22
KU43UC7000-W1,7.7kg,200*200,M8 20~22
KU43UC7000FXKR,7.7kg,200*200,M8 20~22
KU50UC7050FXKR,10.9kg,200*200,M8 20~22
